epoch,IoU,PD,FA
0,0.1159,0.4048,384.9618
1,0.0010,0.2075,166757.8398
2,0.1278,0.2268,768.1016
3,0.0971,0.1556,967.7564
4,0.0602,0.1279,2188.0041
5,0.1120,0.1185,1198.6880
6,0.1620,0.0753,523.3537
7,0.2863,0.0746,142.7190
8,0.3073,0.0676,91.4768
9,0.2597,0.0605,102.4844
10,0.3210,0.0532,91.9323
11,0.2743,0.0471,4.4030
12,0.3889,0.0580,113.5679
13,0.3596,0.0568,173.9198
14,0.3823,0.0448,42.8157
15,0.1829,0.0264,103.9268
16,0.2210,0.0376,437.6464
17,0.3512,0.0404,39.6273
18,0.4241,0.0449,78.9509
19,0.3951,0.0372,51.3181
20,0.4738,0.0400,37.8813
21,0.4805,0.0369,58.9855
22,0.4608,0.0340,30.1380
23,0.3662,0.0259,10.7798
24,0.4105,0.0348,132.6983
25,0.4260,0.0315,146.7425
26,0.5109,0.0320,27.1014
27,0.4898,0.0315,63.3126
28,0.4930,0.0294,54.3547
29,0.4416,0.0285,109.6963
30,0.4062,0.0293,142.3395
31,0.4927,0.0267,71.4354
32,0.4663,0.0208,65.1345
33,0.5273,0.0263,36.6666
34,0.4931,0.0234,25.5072
35,0.3495,0.0232,206.4112
36,0.4542,0.0235,83.3540
37,0.5079,0.0227,63.4644
38,0.5133,0.0212,29.3029
39,0.5006,0.0215,54.2788
40,0.5304,0.0214,59.2891
41,0.5772,0.0190,20.1932
42,0.5269,0.0202,34.6929
43,0.4734,0.0202,52.3050
44,0.5335,0.0195,37.7294
45,0.4899,0.0188,61.7184
46,0.4144,0.0173,58.4541
47,0.5128,0.0164,29.3789
48,0.5248,0.0177,47.7501
49,0.5171,0.0165,33.2505
50,0.5641,0.0171,46.3837
51,0.5446,0.0171,54.2029
52,0.4668,0.0160,44.7895
53,0.5031,0.0162,29.8343
54,0.4631,0.0136,18.5990
55,0.5093,0.0156,67.1083
56,0.4614,0.0157,124.9551
57,0.5652,0.0140,36.9703
58,0.5441,0.0152,48.2815
59,0.5070,0.0139,21.4838
60,0.5181,0.0140,57.7708
61,0.4635,0.0136,58.0745
62,0.4930,0.0143,83.6576
63,0.5194,0.0138,43.7267
64,0.5148,0.0129,49.7239
65,0.5350,0.0138,76.3699
66,0.5330,0.0126,25.5831
67,0.5925,0.0132,45.5486
68,0.5871,0.0124,39.0959
69,0.5585,0.0126,16.3975
70,0.5224,0.0128,102.3326
71,0.4997,0.0118,12.2222
72,0.5638,0.0111,19.2063
73,0.4757,0.0094,14.4237
74,0.5324,0.0122,48.5093
75,0.5336,0.0116,40.9178
76,0.5492,0.0118,61.4147
77,0.5467,0.0119,42.8916
78,0.5304,0.0105,70.0690
79,0.5582,0.0108,20.1932
80,0.5708,0.0108,53.5955
81,0.5675,0.0106,30.4417
82,0.5628,0.0105,29.0752
83,0.5410,0.0103,33.1746
84,0.5735,0.0106,41.3733
85,0.5334,0.0103,28.3920
86,0.5352,0.0099,29.2270
87,0.5536,0.0095,43.4989
88,0.5547,0.0094,21.3319
89,0.5462,0.0091,15.2588
90,0.5933,0.0100,39.1718
91,0.5509,0.0096,84.9482
92,0.5470,0.0092,31.9600
93,0.5186,0.0092,42.2084
94,0.5199,0.0086,12.6777
95,0.5457,0.0092,47.0669
96,0.5562,0.0093,15.1829
97,0.5157,0.0088,28.8475
98,0.5371,0.0086,68.7025
99,0.5547,0.0093,45.0931
