2025-07-02-20-47-35 - 0000	 - IoU 0.1159	 - PD 0.4048	 - FA 384.9618
2025-07-02-20-48-30 - 0002	 - IoU 0.1278	 - PD 0.2268	 - FA 768.1016
2025-07-02-20-51-33 - 0006	 - IoU 0.1620	 - PD 0.0753	 - FA 523.3537
2025-07-02-20-51-59 - 0007	 - IoU 0.2863	 - PD 0.0746	 - FA 142.7190
2025-07-02-20-52-23 - 0008	 - IoU 0.3073	 - PD 0.0676	 - FA 91.4768
2025-07-02-20-53-06 - 0010	 - IoU 0.3210	 - PD 0.0532	 - FA 91.9323
2025-07-02-20-53-48 - 0012	 - IoU 0.3889	 - PD 0.0580	 - FA 113.5679
2025-07-02-20-55-48 - 0018	 - IoU 0.4241	 - PD 0.0449	 - FA 78.9509
2025-07-02-20-56-28 - 0020	 - IoU 0.4738	 - PD 0.0400	 - FA 37.8813
2025-07-02-20-56-48 - 0021	 - IoU 0.4805	 - PD 0.0369	 - FA 58.9855
2025-07-02-20-59-17 - 0026	 - IoU 0.5109	 - PD 0.0320	 - FA 27.1014
2025-07-02-21-02-12 - 0033	 - IoU 0.5273	 - PD 0.0263	 - FA 36.6666
2025-07-02-21-04-35 - 0040	 - IoU 0.5304	 - PD 0.0214	 - FA 59.2891
2025-07-02-21-04-55 - 0041	 - IoU 0.5772	 - PD 0.0190	 - FA 20.1932
2025-07-02-21-13-36 - 0067	 - IoU 0.5925	 - PD 0.0132	 - FA 45.5486
2025-07-02-21-23-02 - 0090	 - IoU 0.5933	 - PD 0.0100	 - FA 39.1718
